meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,scenario,post_labor,virtual_world_quality,run_id
0.3791881630132297,0.645,0.1,0.255,0.025,0.395,0.225,0.24132014790149106,0.4262438179064479,0.8,0,baseline,0.8,0.0,0
0.38582615713226515,0.615,0.095,0.29,0.01,0.35,0.255,0.2572385302117824,0.4692720297555967,0.8,0,baseline,0.8,0.0,1
0.37668578083310567,0.63,0.095,0.275,0.01,0.32,0.3,0.2545674235334099,0.4512580695923499,0.8,0,baseline,0.8,0.0,2
0.38147223353034393,0.635,0.11,0.255,0.015,0.36,0.26,0.2545363971607696,0.4364875232233479,0.8,0,baseline,0.8,0.0,3
0.37595213355484675,0.675,0.075,0.25,0.005,0.42,0.25,0.24586179011888704,0.4460429737506981,0.8,0,baseline,0.8,0.0,4
0.40601731810508873,0.545,0.1,0.355,0.01,0.36,0.175,0.2754970157864207,0.463958343357302,0.8,0,baseline,0.8,0.0,5
0.369400025626897,0.66,0.085,0.255,0.01,0.365,0.285,0.2319883473421938,0.4184710036596195,0.8,0,baseline,0.8,0.0,6
0.3939271918604274,0.605,0.135,0.26,0.025,0.38,0.2,0.2639349469067696,0.44093582141233867,0.8,0,baseline,0.8,0.0,7
0.3985901824316359,0.56,0.13,0.31,0.015,0.335,0.21,0.2714593315108974,0.4690476582337263,0.8,0,baseline,0.8,0.0,8
0.38290681471911114,0.625,0.085,0.29,0.015,0.38,0.23,0.2539450089001338,0.4521383957200931,0.8,0,baseline,0.8,0.0,9
0.4046278197082357,0.54,0.125,0.335,0.025,0.315,0.2,0.28229042733483684,0.48986980217195225,0.8,0,baseline,0.8,0.0,10
0.38430042315617596,0.595,0.055,0.35,0.015,0.335,0.245,0.257332969123579,0.4415386829535569,0.8,0,baseline,0.8,0.0,11
0.37939792706322933,0.645,0.085,0.27,0.03,0.37,0.245,0.2555778332424082,0.4564148999078766,0.8,0,baseline,0.8,0.0,12
0.37554580612376853,0.62,0.075,0.305,0.02,0.34,0.26,0.24669192623751834,0.4411024310086348,0.8,0,baseline,0.8,0.0,13
0.371308629508259,0.665,0.09,0.245,0.02,0.365,0.28,0.24656673298256593,0.44467844216559355,0.8,0,baseline,0.8,0.0,14
0.36903160297855986,0.675,0.075,0.25,0.025,0.38,0.27,0.2407475153702277,0.42485451240161526,0.8,0,baseline,0.8,0.0,15
0.39652094919840325,0.565,0.08,0.355,0.015,0.37,0.18,0.26566519968500374,0.46460387928229224,0.8,0,baseline,0.8,0.0,16
0.3726820231803758,0.665,0.11,0.225,0.04,0.345,0.28,0.24176083306048526,0.44237514789611027,0.8,0,baseline,0.8,0.0,17
0.3921982369797832,0.595,0.12,0.285,0.005,0.315,0.275,0.2617855909915573,0.4448607214311565,0.8,0,baseline,0.8,0.0,18
0.39163125254430553,0.61,0.115,0.275,0.01,0.375,0.225,0.2708377510998102,0.47606850242002535,0.8,0,baseline,0.8,0.0,19
0.35974831885930425,0.72,0.03,0.25,0.015,0.465,0.24,0.23628308880740995,0.4270404911090884,0.8,1,baseline,0.8,0.0,20
0.3673704648742779,0.675,0.065,0.26,0.01,0.405,0.26,0.23446031053642616,0.4185274067300331,0.8,0,baseline,0.8,0.0,21
0.3807242849218189,0.61,0.07,0.32,0.01,0.325,0.275,0.2478807086876339,0.44650388711651134,0.8,0,baseline,0.8,0.0,22
0.3814677511126775,0.605,0.095,0.3,0.025,0.335,0.245,0.25092048179549364,0.43236514011742216,0.8,0,baseline,0.8,0.0,23
0.38994886693505615,0.585,0.12,0.295,0.025,0.305,0.255,0.2602818614820223,0.45568054468260455,0.8,0,baseline,0.8,0.0,24
0.3705709377905503,0.68,0.08,0.24,0.03,0.395,0.255,0.24485907285422814,0.4416898544504656,0.8,0,baseline,0.8,0.0,25
0.3888833668269311,0.585,0.11,0.305,0.03,0.32,0.235,0.2564270453762994,0.4516022272712611,0.8,0,baseline,0.8,0.0,26
0.3780211253140792,0.635,0.095,0.27,0.015,0.34,0.28,0.24260609049616647,0.4253317572968654,0.8,0,baseline,0.8,0.0,27
0.37748395669849766,0.67,0.095,0.235,0.01,0.37,0.29,0.24596624198302955,0.4317518963971337,0.8,0,baseline,0.8,0.0,28
0.37564776077324297,0.66,0.1,0.24,0.015,0.385,0.26,0.24361275511564004,0.4342524918761992,0.8,0,baseline,0.8,0.0,29
0.39002139607591557,0.595,0.105,0.3,0.005,0.345,0.245,0.26346368510950924,0.463966131147238,0.8,0,baseline,0.8,0.0,30
0.35954602012693615,0.715,0.05,0.235,0.04,0.39,0.285,0.23681703586977082,0.42282503902629354,0.8,1,baseline,0.8,0.0,31
0.3744812786019189,0.66,0.075,0.265,0.04,0.42,0.2,0.24648143448363974,0.44902330628286147,0.8,0,baseline,0.8,0.0,32
0.3821487492108899,0.61,0.095,0.295,0.015,0.335,0.26,0.25845139445877185,0.46299516110986777,0.8,0,baseline,0.8,0.0,33
0.4015448355446187,0.565,0.135,0.3,0.005,0.35,0.21,0.2716926104923226,0.4637303166100412,0.8,0,baseline,0.8,0.0,34
0.3808108323907406,0.605,0.1,0.295,0.005,0.3,0.3,0.25422845886494494,0.4462094777577005,0.8,0,baseline,0.8,0.0,35
0.3855038347828809,0.665,0.11,0.225,0.03,0.435,0.2,0.25628930894598073,0.4512366092035197,0.8,0,baseline,0.8,0.0,36
0.38592756051054516,0.615,0.095,0.29,0.02,0.36,0.235,0.25439457964117923,0.4316054304771553,0.8,0,baseline,0.8,0.0,37
0.3772402909190295,0.65,0.105,0.245,0.02,0.365,0.265,0.24565216141134616,0.44835469530808536,0.8,0,baseline,0.8,0.0,38
0.37107236597350124,0.67,0.05,0.28,0.01,0.375,0.285,0.24179402487957652,0.43407523637422046,0.8,0,baseline,0.8,0.0,39
0.3889418697924046,0.615,0.1,0.285,0.03,0.4,0.185,0.2585065013352593,0.45223692942423777,0.8,0,baseline,0.8,0.0,40
0.3929676959991871,0.575,0.105,0.32,0.01,0.34,0.225,0.2563704330100428,0.4511613819066521,0.8,0,baseline,0.8,0.0,41
0.380558143880365,0.63,0.09,0.28,0.015,0.355,0.26,0.25410240527580474,0.45041375522872784,0.8,0,baseline,0.8,0.0,42
0.3916049340260501,0.585,0.1,0.315,0.015,0.345,0.225,0.265361566678337,0.4666591451948932,0.8,0,baseline,0.8,0.0,43
0.38827322846184226,0.63,0.065,0.305,0.01,0.435,0.185,0.2640437409206157,0.46747267824559713,0.8,0,baseline,0.8,0.0,44
0.3716589600040148,0.66,0.085,0.255,0.025,0.365,0.27,0.23884378163142103,0.429657133080418,0.8,0,baseline,0.8,0.0,45
0.3796549268223599,0.635,0.095,0.27,0.005,0.39,0.24,0.2548024384062596,0.45110511338777287,0.8,0,baseline,0.8,0.0,46
0.36839778775718207,0.705,0.08,0.215,0.005,0.42,0.28,0.23848171609764138,0.43854933197310614,0.8,1,baseline,0.8,0.0,47
0.39248483753665797,0.63,0.13,0.24,0.01,0.365,0.255,0.26836799873907574,0.46474265855909513,0.8,0,baseline,0.8,0.0,48
0.38486815298251137,0.595,0.095,0.31,0.01,0.33,0.255,0.2632206834948602,0.4753407193051869,0.8,0,baseline,0.8,0.0,49
0.37375595857654703,0.66,0.09,0.25,0.02,0.36,0.28,0.2415703644882859,0.4360890060248883,0.8,0,baseline,0.8,0.0,50
0.3794700703840499,0.63,0.115,0.255,0.015,0.3,0.315,0.25388471755179437,0.446787146263072,0.8,0,baseline,0.8,0.0,51
0.3731964246842409,0.68,0.09,0.23,0.02,0.415,0.245,0.24275960903911517,0.43903143431850034,0.8,0,baseline,0.8,0.0,52
0.39145079726405213,0.61,0.135,0.255,0.02,0.345,0.245,0.25942670459451334,0.44417194033391416,0.8,0,baseline,0.8,0.0,53
0.36691759697672394,0.65,0.08,0.27,0.025,0.35,0.275,0.23383735056309124,0.4044694478954278,0.8,0,baseline,0.8,0.0,54
0.3796157629995654,0.64,0.115,0.245,0.015,0.35,0.275,0.25500029977030286,0.4524760567106428,0.8,0,baseline,0.8,0.0,55
0.36853297847617017,0.695,0.08,0.225,0.02,0.42,0.255,0.2488400225975933,0.4536381217310098,0.8,0,baseline,0.8,0.0,56
0.3952352331987058,0.555,0.105,0.34,0.01,0.315,0.23,0.26543826105973006,0.4579109893462992,0.8,0,baseline,0.8,0.0,57
0.384541078347512,0.63,0.09,0.28,0.015,0.365,0.25,0.260719654792427,0.4531715119642639,0.8,0,baseline,0.8,0.0,58
0.36800775231917593,0.655,0.085,0.26,0.015,0.325,0.315,0.23884776450277279,0.43688281276140556,0.8,0,baseline,0.8,0.0,59
0.3955192017313333,0.59,0.105,0.305,0.0,0.355,0.235,0.26274992609051867,0.4562024244685577,0.8,0,baseline,0.8,0.0,60
0.388760112002258,0.61,0.11,0.28,0.01,0.37,0.23,0.2587765021627826,0.47136939981897386,0.8,0,baseline,0.8,0.0,61
0.37638242673355876,0.655,0.09,0.255,0.025,0.38,0.25,0.2512064884076342,0.438973069872318,0.8,0,baseline,0.8,0.0,62
0.37679531865456034,0.67,0.1,0.23,0.005,0.385,0.28,0.24488883830869182,0.4403248100962358,0.8,0,baseline,0.8,0.0,63
0.3751879457059535,0.69,0.09,0.22,0.02,0.39,0.28,0.24393313087961246,0.43536217946282163,0.8,0,baseline,0.8,0.0,64
0.3844754394482012,0.58,0.1,0.32,0.02,0.275,0.285,0.2609365976701071,0.44967908709783344,0.8,0,baseline,0.8,0.0,65
0.383206932780453,0.61,0.105,0.285,0.01,0.32,0.28,0.2595949090514903,0.4643275455362101,0.8,0,baseline,0.8,0.0,66
0.38274856703340354,0.655,0.095,0.25,0.025,0.395,0.235,0.25821547283439517,0.44648258711276007,0.8,0,baseline,0.8,0.0,67
0.3920418965795233,0.6,0.105,0.295,0.025,0.38,0.195,0.2583186682971759,0.43544929445736696,0.8,0,baseline,0.8,0.0,68
0.3827044275237661,0.625,0.085,0.29,0.025,0.39,0.21,0.2535449656639562,0.4490097731410564,0.8,0,baseline,0.8,0.0,69
0.39128917172540056,0.6,0.08,0.32,0.01,0.385,0.205,0.2686584975094873,0.4662170701503868,0.8,0,baseline,0.8,0.0,70
0.39050850738697884,0.58,0.095,0.325,0.015,0.335,0.23,0.25528099871349375,0.4281009078991341,0.8,0,baseline,0.8,0.0,71
0.37514045159657244,0.67,0.085,0.245,0.03,0.39,0.25,0.2532756211652387,0.4541809939953947,0.8,0,baseline,0.8,0.0,72
0.38000199075746094,0.675,0.11,0.215,0.025,0.405,0.245,0.24579585733277637,0.4391537672954602,0.8,0,baseline,0.8,0.0,73
0.3838444347307916,0.65,0.09,0.26,0.02,0.38,0.25,0.256267021012688,0.46189598709452573,0.8,0,baseline,0.8,0.0,74
0.3923322522158099,0.595,0.11,0.295,0.015,0.38,0.2,0.2605088158305422,0.462577414217281,0.8,0,baseline,0.8,0.0,75
0.3920241746372939,0.605,0.11,0.285,0.025,0.365,0.215,0.25893979551438917,0.4505575430468719,0.8,0,baseline,0.8,0.0,76
0.3802507087324333,0.625,0.095,0.28,0.015,0.35,0.26,0.25091252471584663,0.44887056104539896,0.8,0,baseline,0.8,0.0,77
0.3812888992889594,0.63,0.1,0.27,0.015,0.345,0.27,0.2470366234661428,0.43716293478120266,0.8,0,baseline,0.8,0.0,78
0.3814175667405486,0.635,0.1,0.265,0.015,0.39,0.23,0.25758587891127177,0.46236142404365954,0.8,0,baseline,0.8,0.0,79
0.37711663701344683,0.66,0.06,0.28,0.02,0.415,0.225,0.24476048669126652,0.42781474355756055,0.8,0,baseline,0.8,0.0,80
0.3799600287511716,0.645,0.1,0.255,0.005,0.41,0.23,0.2541068111420913,0.45633318900395314,0.8,0,baseline,0.8,0.0,81
0.38631814642037654,0.61,0.12,0.27,0.015,0.35,0.245,0.25734809440046996,0.4366425479281093,0.8,0,baseline,0.8,0.0,82
0.38973583560988173,0.6,0.1,0.3,0.03,0.355,0.215,0.2602104405149542,0.4555269115857856,0.8,0,baseline,0.8,0.0,83
0.37932605486313775,0.62,0.09,0.29,0.025,0.35,0.245,0.2568520300858755,0.4584920735320987,0.8,0,baseline,0.8,0.0,84
0.38383587113653517,0.6,0.09,0.31,0.025,0.33,0.245,0.2555779161071825,0.476720740182096,0.8,0,baseline,0.8,0.0,85
0.3937143984421151,0.58,0.115,0.305,0.02,0.335,0.225,0.26206567832093997,0.4423197245854233,0.8,0,baseline,0.8,0.0,86
